segment_L,accession_L,country,admin1,location,latitude,longitude
KM821786|G733_SLE_2010|Human|Sierra_Leone|2010-01-17,KM821786,SLE,Kenema,Panguma,8.184479,-11.134313
KM821788|G771_SLE_2010|Human|Sierra_Leone|2010-02-08,KM821788,SLE,Kenema,Blama,7.874519,-11.342483
KM821791|G808_SLE_2010|Human|Sierra_Leone|2010-02-27,KM821791,SLE,Kenema,Panguma,8.184479,-11.134313
KM821793|G1180_SLE_2010|Human|Sierra_Leone|2010-09-02,KM821793,SLE,Kenema,Melegohun,NA,NA
KM821795|G1190_SLE_2010|Human|Sierra_Leone|2010-09-09,KM821795,SLE,Kenema,Melegohun,NA,NA
KM821797|G1200_LIB_2010|Human|Liberia|2010,KM821797,LBR,,,NA,NA
KM821799|G1442_SLE_2011|Human|Sierra_Leone|2011-01-20,KM821799,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821801|G1529_SLE_2011|Human|Sierra_Leone|2011-03-02,KM821801,SLE,Bo,Gondama,7.86688,-11.70931
KM821803|G1618_SLE_2011|Human|Sierra_Leone|2011-03-26,KM821803,SLE,Kailahun,Segbwema,7.997399,-10.950236
KM821805|G1646_SLE_2011|Human|Sierra_Leone|2011-04-13,KM821805,SLE,Kenema,Daabu,NA,NA
KM821807|G1647_SLE_2011|Human|Sierra_Leone|2011-04-15,KM821807,SLE,Kenema,Kenema,7.862212,-11.196247
KM821809|G1727_SLE_2011|Human|Sierra_Leone|2011-05-31,KM821809,SLE,Kenema,Lalehun,NA,NA
KM821811|G1774_SLE_2011|Human|Sierra_Leone|2011-06-11,KM821811,SLE,Kenema,Largo,8.05,-11.11
KM821813|G1792_SLE_2011|Human|Sierra_Leone|2011-06-17,KM821813,SLE,Kenema,Tongo,8.2188562,-11.0604289
KM821817|G1959_SLE_2011|Human|Sierra_Leone|2011-09-09,KM821817,SLE,Kenema,Kenema,7.862212,-11.196247
KM821819|G1960_SLE_2011|Human|Sierra_Leone|2011-09-11,KM821819,SLE,Kenema,Tongo Field,NA,NA
KM821821|G2141_SLE_2011|Human|Sierra_Leone|2011-11-11,KM821821,SLE,Kenema,Ngomba Wandoh,NA,NA
KM821823|G2147_SLE_2011|Human|Sierra_Leone|2011-11-16,KM821823,SLE,Kenema,Tongo Tongola old town,8.21154,-11.05124
KM821825|G2165_SLE_2011|Human|Sierra_Leone|2011-11-18,KM821825,SLE,Kenema,Panguma,8.184479,-11.134313
KM821827|G2184_SLE_2011|Human|Sierra_Leone|2011-11-26,KM821827,SLE,Bo,Gondama,7.86688,-11.70931
KM821829|G2197_SLE_2011|Human|Sierra_Leone|2011-12-04,KM821829,SLE,Kenema,Panguma,8.184479,-11.134313
KM821831|G2222_SLE_2011|Human|Sierra_Leone|2011-12-19,KM821831,SLE,Kenema,Largo,8.05,-11.11
KM821834|G2259_SLE_2012|Human|Sierra_Leone|2012-01-16,KM821834,SLE,Bo,Gondama,7.86688,-11.70931
KM821836|G2263_SLE_2012|Human|Sierra_Leone|2012-01-17,KM821836,SLE,Kailahun,Borbohun,NA,NA
KM821838|G2280_SLE_2012|Human|Sierra_Leone|2012-01-23,KM821838,SLE,Kenema,Pegama,8.116599,-11.174797
KM821840|G2295_SLE_2012|Human|Sierra_Leone|2012-01-31,KM821840,SLE,Kenema,Lalehun,8.1978275,-11.0803252
KM821842|G2315_SLE_2012|Human|Sierra_Leone|2012-02-10,KM821842,SLE,Kenema,Panguma,8.184479,-11.134313
KM821844|G2318_SLE_2012|Human|Sierra_Leone|2012-02-12,KM821844,SLE,Kenema,Ngiehun,8.18,-11.08
KM821846|G2363_SLE_2012|Human|Sierra_Leone|2012-02-27,KM821846,SLE,Bo,Gondama,7.86688,-11.70931
KM821849|G2392_SLE_2012|Human|Sierra_Leone|2012-03-14,KM821849,SLE,Kenema,Patama,NA,NA
KM821851|G2405_SLE_2012|Human|Sierra_Leone|2012-03-27,KM821851,SLE,Kenema,Kenema,7.862212,-11.196247
KM821853|G2427_SLE_2012|Human|Sierra_Leone|2012-03-31,KM821853,SLE,Kenema,Nekabu,7.925974,-11.054267
KM821855|G2431_SLE_2012|Human|Sierra_Leone|2012-04-02,KM821855,SLE,Bo,Gondama,7.86688,-11.70931
KM821858|G2554_SLE_2012|Human|Sierra_Leone|2012-06-24,KM821858,SLE,Kenema,Kenema,7.862212,-11.196247
KM821860|G2557_SLE_2012|Human|Sierra_Leone|2012-06-26,KM821860,SLE,Bo,Taninahun Malin,7.891162,-12.086255
KM821862|G2565_SLE_2012|Human|Sierra_Leone|2012-07-02,KM821862,SLE,Kenema,Tongo Field,NA,NA
KM821866|G2612_SLE_2012|Human|Sierra_Leone|2012-07-23,KM821866,SLE,Kenema,Kenema,7.862212,-11.196247
KM821868|G2615_SLE_2012|Human|Sierra_Leone|2012-07-24,KM821868,SLE,Bo,Gondama,7.86688,-11.70931
KM821870|G2723_SLE_2012|Human|Sierra_Leone|2012-08-21,KM821870,SLE,Bo,Gondama,7.86688,-11.70931
KM821873|G2868_SLE_2012|Human|Sierra_Leone|2012-10-08,KM821873,SLE,Kenema,Kpetema-Brewaya,8.355083,-11.324278
KM821875|G2903_SLE_2012|Human|Sierra_Leone|2012-10-30,KM821875,SLE,Bo,Gondama,7.86688,-11.70931
KM821879|G2944_SLE_2012|Human|Sierra_Leone|2012-12-05,KM821879,SLE,Kenema,Seleima,NA,NA
KM821881|G3010_SLE_2013|Human|Sierra_Leone|2013-02-05,KM821881,SLE,Kenema,Nyadeyama,8.3188107,-11.3151104
KM821883|G3016_SLE_2013|Human|Sierra_Leone|2013-02-14,KM821883,SLE,Kenema,Panguma,8.184479,-11.134313
KM821891|G3148_SLE_2013|Human|Sierra_Leone|2013-06-01,KM821891,SLE,Kenema,Panguma,8.184479,-11.134313
KM821893|G3151_SLE_2013|Human|Sierra_Leone|2013-06-05,KM821893,SLE,Kenema,Kebawana,7.65,-11.133333
KM821898|G3206_SLE_2013|Human|Sierra_Leone|2013-07-01,KM821898,SLE,Kenema,Panguma,8.184479,-11.134313
KM821901|G3229_SLE_2013|Human|Sierra_Leone|2013-07-13,KM821901,SLE,Kenema,Kenema,7.862212,-11.196247
KM821903|G3234_SLE_2013|Human|Sierra_Leone|2013-07-15,KM821903,SLE,Bo,Upper Saama,7.666711,-11.859363
KM821908|G3278_SLE_2013|Human|Sierra_Leone|2013-08-02,KM821908,SLE,Bo,Torpkoi Town,7.9538763,-11.7132483
KM821911|ISTH0009_NIG_2011|Human|Nigeria|2011,KM821911,NGA,,,NA,NA
KM821913|ISTH0012_NIG_2011|Human|Nigeria|2011,KM821913,NGA,,,NA,NA
KM821915|ISTH0047_NIG_2011|Human|Nigeria|2011,KM821915,NGA,,,NA,NA
KM821917|ISTH0073_NIG_2011|Human|Nigeria|2011,KM821917,NGA,,,NA,NA
KM821919|ISTH0230_NIG_2011|Human|Nigeria|2011,KM821919,NGA,,,NA,NA
KM821921|ISTH0531_NIG_2011|Human|Nigeria|2011,KM821921,NGA,,,NA,NA
KM821923|ISTH0595_NIG_2011|Human|Nigeria|2011,KM821923,NGA,,,NA,NA
