segment_S,accession_S,country,admin1,location,latitude,longitude
KT833214|Sok61|GIN|Guinea|2014-4-4,KT833214,GIN,Faranah,Sokourala,10.0567833,-10.6658333
KT833183|Dam05|GIN|Guinea|2013-11-15,KT833183,GIN,Faranah,Damania,9.806833,-10.863267
DQ832676|BA375|Mouse|Guinea|2003,DQ832676,GIN,Faranah,Bantou,10.059767,-10.58615
KT833209|Dam90|GIN|Guinea|2014-3-27,KT833209,GIN,Faranah,Damania,9.806833,-10.863267
KT833187|Dam49|GIN|Guinea|2013-11-17,KT833187,GIN,Faranah,Damania,9.806833,-10.863267
KT833207|Dam71|GIN|Guinea|2014-3-26,KT833207,GIN,Faranah,Damania,9.806833,-10.863267
KT833184|Dam15|GIN|Guinea|2013-11-15,KT833184,GIN,Faranah,Damania,9.806833,-10.863267
KP339054|170|Mastomys natalensis|Guinea|2003-5-23,KP339054,GIN,Faranah,Gbetaya,9.841017,-11.04015
DQ832686|TA464|Mouse|Guinea|2003,DQ832686,GIN,Faranah,Tanganya,10.0004,-10.972783
DQ832690|TA820|Mouse|Guinea|2004,DQ832690,GIN,Faranah,Tanganya,10.0004,-10.972783
DQ832683|TA341|Mouse|Guinea|2003,DQ832683,GIN,Faranah,Tanganya,10.0004,-10.972783
DQ832682|TA416|Mouse|Guinea|2003,DQ832682,GIN,Faranah,Tanganya,10.0004,-10.972783
KP339127|1858|Mastomys natalensis|Guinea|2011-10-23,KP339127,GIN,Faranah,Tanganya,10.0004,-10.972783
KT833192|Yar46|GIN|Guinea|2013-11-21,KT833192,GIN,Faranah,Yarawalia,9.95445,-10.7318833
KT833221|Yar51|GIN|Guinea|2014-4-13,KT833221,GIN,Faranah,Yarawalia,9.95445,-10.7318833
KP339132|1925|Mastomys natalensis|Guinea|2011-10-25,KP339132,GIN,Faranah,Tanganya,10.0004,-10.972783
AF182270|las808255|Mouse|Guinea|1996,AF182270,GIN,Faranah,Faranah,10.045385,-10.750165
KT833194|Kho29|GIN|Guinea|2013-11-26,KT833194,GIN,Faranah,Khoria,9.9422667,-10.8930333
KT833193|Kho10|GIN|Guinea|2013-11-24,KT833193,GIN,Faranah,Khoria,9.9422667,-10.8930333
DQ832668|GB132|Mouse|Guinea|2003,DQ832668,GIN,Faranah,Gbetaya,9.841017,-11.04015
DQ832667|GB129|Mouse|Guinea|2003,DQ832667,GIN,Faranah,Gbetaya,9.841017,-11.04015
DQ832689|TA817|Mouse|Guinea|2004,DQ832689,GIN,Faranah,Tanganya,10.0004,-10.972783
KP339083|813|Mastomys natalensis|Guinea|2004-2-1,KP339083,GIN,Faranah,Tanganya,10.0004,-10.972783
DQ832684|TA444|Mouse|Guinea|2003,DQ832684,GIN,Faranah,Tanganya,10.0004,-10.972783
KT833182|Dam03|GIN|Guinea|2013-11-15,KT833182,GIN,Faranah,Damania,9.806833,-10.863267
KT833186|Dam38|GIN|Guinea|2013-11-16,KT833186,GIN,Faranah,Damania,9.806833,-10.863267
KT833188|Yar14|GIN|Guinea|2013-11-20,KT833188,GIN,Faranah,Yarawalia,9.95445,-10.7318833
KT833203|Saf01|GIN|Guinea|2013-12-3,KT833203,GIN,Faranah,Safrani,10.0578167,-10.7383667
KT833191|Yar36|GIN|Guinea|2013-11-21,KT833191,GIN,Faranah,Yarawalia,9.95445,-10.7318833
DQ832671|BA302|Mouse|Guinea|2003,DQ832671,GIN,Faranah,Bantou,10.059767,-10.58615
