node1,node2,length,startLon,startLat,endLon,endLat,endNodeL,startNodeL,startYear,endYear
454,455,26.997631,-11.0891402214716,8.19520806170625,-11.101721804772,8.18718601474199,882.20524,855.207609,1850.604666,1877.602297
258,259,51.497186,7.84199977314491,6.06512015172437,6.75372007097492,6.1855715270136,882.688255,831.191069,1826.588126,1878.085312
454,499,32.118748,-11.0891402214716,8.19520806170625,-11.0811137248539,8.20275495001506,887.326357,855.207609,1850.604666,1882.723414
445,446,274.312233,-8.20027075827651,9.52961319001142,-7.17917309717675,10.4911135887774,890.077017,615.764784,1611.161841,1885.474074
455,491,13.233857,-11.101721804772,8.18718601474199,-11.7082520914311,7.87024853248964,895.439097,882.20524,1877.602297,1890.836154
419,420,42.637672,9.4575950120205,9.67078214983043,9.44683877171927,9.66881481066493,909.919904,867.282232,1862.679289,1905.316961
491,492,22.339389,-11.7082520914311,7.87024853248964,-11.708049206886,7.86982258121413,917.778486,895.439097,1890.836154,1913.175543
492,493,9.410649,-11.708049206886,7.86982258121413,-11.7079632675108,7.869219720406,927.189135,917.778486,1913.175543,1922.586192
420,421,23.468092,9.44683877171927,9.66881481066493,9.42696688047726,9.73391259700539,933.387996,909.919904,1905.316961,1928.785053
259,265,51.523065,6.75372007097492,6.1855715270136,6.73320848309868,6.1976262231655,934.21132,882.688255,1878.085312,1929.608377
419,428,68.2453,9.4575950120205,9.67078214983043,9.5422589071038,9.7427182181921,935.527532,867.282232,1862.679289,1930.924589
421,422,9.127051,9.42696688047726,9.73391259700539,9.54445135217444,9.9590110013174,942.515047,933.387996,1928.785053,1937.912104
265,266,10.44317,6.73320848309868,6.1976262231655,6.73268026282282,6.19819947072946,944.65449,934.21132,1929.608377,1940.051547
259,260,64.050212,6.75372007097492,6.1855715270136,6.77163369775267,6.17317407492242,946.738467,882.688255,1878.085312,1942.135524
422,423,7.60822,9.54445135217444,9.9590110013174,9.83469465530953,10.2984833978119,950.123267,942.515047,1937.912104,1945.520324
455,456,68.916867,-11.101721804772,8.18718601474199,-11.1060009004416,8.17913780948522,951.122107,882.20524,1877.602297,1946.519164
408,409,136.86461,7.82918536344607,6.07989825335812,7.86767472709815,6.0651145079392,953.320868,816.456258,1811.853315,1948.717925
456,457,2.580014,-11.1060009004416,8.17913780948522,-10.9986118015385,8.03964234005049,953.702121,951.122107,1946.519164,1949.099178
260,261,7.250838,6.77163369775267,6.17317407492242,11.3577961444103,8.89303193078586,953.989305,946.738467,1942.135524,1949.386362
431,432,86.727722,8.52544753237637,8.50872734143631,8.40841185618829,8.22579044592339,956.442263,869.714541,1865.111598,1951.83932
413,414,432.004393,5.04654345660704,7.73708714779788,5.25188354020351,7.78040223614058,956.548143,524.54375,1519.940807,1951.9452
505,506,78.814977,-9.4755089851682,6.99410343256439,-9.47369877134904,6.99449393640477,957.083752,878.268775,1873.665832,1952.480809
457,458,5.542433,-10.9986118015385,8.03964234005049,-11.0065153524241,8.02512890455762,959.244554,953.702121,1949.099178,1954.641611
258,397,130.048297,7.84199977314491,6.06512015172437,7.90093756169022,6.04736259340476,961.239366,831.191069,1826.588126,1956.636423
456,463,11.153968,-11.1060009004416,8.17913780948522,-11.1221537607628,8.18883534238947,962.276075,951.122107,1946.519164,1957.673132
432,436,7.747954,8.40841185618829,8.22579044592339,8.12429094322653,7.82252819236288,964.190217,956.442263,1951.83932,1959.587274
266,267,20.166536,6.73268026282282,6.19819947072946,6.72280566700787,6.2119883847583,964.821026,944.65449,1940.051547,1960.218083
428,429,31.535334,9.5422589071038,9.7427182181921,9.80185091708848,9.85335412433131,967.062866,935.527532,1930.924589,1962.459923
267,268,2.440467,6.72280566700787,6.2119883847583,6.72281251870349,6.21307233001354,967.261493,964.821026,1960.218083,1962.65855
446,451,77.338608,-7.17917309717675,10.4911135887774,-7.19889338828736,10.4054828833218,967.415625,890.077017,1885.474074,1962.812682
463,479,6.422816,-11.1221537607628,8.18883534238947,-11.1189721564243,8.18982208142274,968.698891,962.276075,1957.673132,1964.095948
