segment_S,accession_S,country,admin1,location,latitude,longitude
LASV_NGA_2018_IRR_135_NGA-Edo_Ekpoma_Hs_2018-03-05,MK118033,NGA,Edo,Ekpoma,6.75,6.133333
MH887797|LASV0103-EDO-2017|Human|Nigeria|2017-11-29,MH887797,NGA,Edo,Ikpoba-Okha,NA,NA
MK281625|LASV0237-EDO-2018|Human|NGA|2018-02-26,MK281625,NGA,Edo,,NA,NA
KM822082|LASV978_NIG_2009|Human|Nigeria|2009,KM822082,NGA,,,NA,NA
KM822025|LASV225_NIG_2010|Human|Nigeria|2010,KM822025,NGA,,,NA,NA
MH887772|LASV0101-EDO-2017|Human|Nigeria|2017-11-10,MH887772,NGA,Edo,EsanWest,NA,NA
KM821992|ISTH2316_NIG_2012|Human|Nigeria|2012,KM821992,NGA,,,NA,NA
KM822093|LASV990_NIG_2009|Human|Nigeria|2009,KM822093,NGA,,,NA,NA
KM821916|ISTH0047_NIG_2011|Human|Nigeria|2011,KM821916,NGA,,,NA,NA
MH053488|ISTH_1250|Human|Nigeria|2016-05-18,MH053488,NGA,Edo,EsanNort,NA,NA
KM821918|ISTH0073_NIG_2011|Human|Nigeria|2011,KM821918,NGA,,,NA,NA
KM821927|ISTH1003_NIG_2011|Human|Nigeria|2011,KM821927,NGA,,,NA,NA
MH157046|ISTH_0026|Human|Nigeria|2018-01-07,MH157046,NGA,Edo,EsanWest,NA,NA
LASV_NGA_2018_IRR_002_NGA-Edo_Ogwa_Hs_2018-01-07,MK117953,NGA,Edo,Ogwa,6.505376,6.207318
MH157030|ISTH_0998|Human|Nigeria|2018-02-13,MH157030,NGA,Edo,Egor,NA,NA
MH887823|LASV0100-EDO-2017|Human|Nigeria|2017-10-18,MH887823,NGA,Edo,EsanWest,NA,NA
KM822091|LASV989_NIG_2009|Human|Nigeria|2009,KM822091,NGA,,,NA,NA
KM822043|LASV251_NIG_2010|Human|Nigeria|2010,KM822043,NGA,,,NA,NA
KM822000|LASV003_NIG_2008|Human|Nigeria|2008,KM822000,NGA,,,NA,NA
MH887897|LASV0077-EDO-2017|Human|Nigeria|2017-04-17,MH887897,NGA,Edo,EsanNort,NA,NA
KM822035|LASV242_NIG_2010|Human|Nigeria|2010,KM822035,NGA,,,NA,NA
KM822045|LASV253_NIG_2011|Human|Nigeria|2011,KM822045,NGA,,,NA,NA
LASV|NGA|2019|IRR_0019|2019-01-08,LASV|NGA|2019|IRR_0019|2019-01-08,NGA,Edo,Uromi,6.712259,6.329005
KM822088|LASV982_NIG_2009|Human|Nigeria|2009,KM822088,NGA,,,NA,NA
MH887891|LASV0134-EDO-2018|Human|Nigeria|2018-01-17,MH887891,NGA,Edo,EsanNort,NA,NA
LASV_NGA_2016_IRR_002_NGA-Edo_NA_Hs_2016-02-15,MK117848,NGA,Edo,NA,6.75,6.221953
LASV_NGA_2018_IRR_079_NGA-Edo_Uromi_Hs_2018-02-12,MK118005,NGA,Edo,Uromi,6.712259,6.329005
GU481078|Nig08_A47|Human|Nigeria|2008-02,GU481078,NGA,Edo,Uromi,6.712259,6.329005
KM822033|LASV241_NIG_2011|Human|Nigeria|2011,KM822033,NGA,,,NA,NA
KM822055|LASV271_NIG_2010|Human|Nigeria|2010,KM822055,NGA,,,NA,NA
LASV|NGA|2019|IRR_0105|2019-02-26,LASV|NGA|2019|IRR_0105|2019-02-26,NGA,Edo,Auchi,7.066667,6.266667
KM821933|ISTH1058_NIG_2011|Human|Nigeria|2011,KM821933,NGA,,,NA,NA
LASV_NGA_2018_IRR_142_NGA-Edo_Uromi_Hs_2018-03-09,MK118039,NGA,Edo,Uromi,6.712259,6.329005
LASV|NGA|2019|IRR_0081|2019-02-03,LASV|NGA|2019|IRR_0081|2019-02-03,NGA,Edo,Uromi,6.712259,6.329005
LASV_NGA_2018_IRR_137_NGA-Edo_Uromi_Hs_2018-03-08,MK118035,NGA,Edo,Uromi,6.712259,6.329005
KM822099|LASV993_NIG_2009|Human|Nigeria|2009,KM822099,NGA,,,NA,NA
KM821914|ISTH0012_NIG_2011|Human|Nigeria|2011,KM821914,NGA,,,NA,NA
LASV_NGA_2018_IRR_053_NGA-Edo_Uromi_Hs_2018-02-08,MK117988,NGA,Edo,Uromi,6.712259,6.329005
MH887862|LASV0186-UNKNOWN-2018|Human|Nigeria|2018-02-13,MH887862,NGA,,,NA,NA
LASV|NGA|2019|IRR_0114|2019-03-07,LASV|NGA|2019|IRR_0114|2019-03-07,NGA,Edo,Uromi,6.712259,6.329005
